month,Value,Estado,year,filtro2,filtro
C4CR,48,Archivado,2002-2006,comision entrante,comision entrante 2002-2006
C4S,6,Archivado,2002-2006,comision entrante,comision entrante 2002-2006
C1CR,74,Archivado,2002-2006,comision entrante,comision entrante 2002-2006
C1S,106,Archivado,2002-2006,comision entrante,comision entrante 2002-2006
C5CR,29,Archivado,2002-2006,comision entrante,comision entrante 2002-2006
C5S,11,Archivado,2002-2006,comision entrante,comision entrante 2002-2006
C2CR,18,Archivado,2002-2006,comision entrante,comision entrante 2002-2006
C2S,35,Archivado,2002-2006,comision entrante,comision entrante 2002-2006
C7CR,55,Archivado,2002-2006,comision entrante,comision entrante 2002-2006
C7S,55,Archivado,2002-2006,comision entrante,comision entrante 2002-2006
C6CR,42,Archivado,2002-2006,comision entrante,comision entrante 2002-2006
C6S,46,Archivado,2002-2006,comision entrante,comision entrante 2002-2006
C3CR,33,Archivado,2002-2006,comision entrante,comision entrante 2002-2006
C3S,13,Archivado,2002-2006,comision entrante,comision entrante 2002-2006
NA,561,Archivado,2002-2006,comision entrante,comision entrante 2002-2006
C4CR,43,Archivado,2006-2010,comision entrante,comision entrante 2006-2010
C4S,8,Archivado,2006-2010,comision entrante,comision entrante 2006-2010
C1CR,55,Archivado,2006-2010,comision entrante,comision entrante 2006-2010
C1S,66,Archivado,2006-2010,comision entrante,comision entrante 2006-2010
C5CR,10,Archivado,2006-2010,comision entrante,comision entrante 2006-2010
C5S,19,Archivado,2006-2010,comision entrante,comision entrante 2006-2010
C2CR,22,Archivado,2006-2010,comision entrante,comision entrante 2006-2010
C2S,60,Archivado,2006-2010,comision entrante,comision entrante 2006-2010
C7CR,76,Archivado,2006-2010,comision entrante,comision entrante 2006-2010
C7S,41,Archivado,2006-2010,comision entrante,comision entrante 2006-2010
C6CR,48,Archivado,2006-2010,comision entrante,comision entrante 2006-2010
C6S,39,Archivado,2006-2010,comision entrante,comision entrante 2006-2010
C3CR,33,Archivado,2006-2010,comision entrante,comision entrante 2006-2010
C3S,12,Archivado,2006-2010,comision entrante,comision entrante 2006-2010
NA,736,Archivado,2006-2010,comision entrante,comision entrante 2006-2010
C4CR,27,Archivado,2010-2014,comision entrante,comision entrante 2010-2014
C4S,9,Archivado,2010-2014,comision entrante,comision entrante 2010-2014
C1CR,135,Archivado,2010-2014,comision entrante,comision entrante 2010-2014
C1S,169,Archivado,2010-2014,comision entrante,comision entrante 2010-2014
C5CR,26,Archivado,2010-2014,comision entrante,comision entrante 2010-2014
C5S,45,Archivado,2010-2014,comision entrante,comision entrante 2010-2014
C2CR,19,Archivado,2010-2014,comision entrante,comision entrante 2010-2014
C2S,67,Archivado,2010-2014,comision entrante,comision entrante 2010-2014
C7CR,73,Archivado,2010-2014,comision entrante,comision entrante 2010-2014
C7S,108,Archivado,2010-2014,comision entrante,comision entrante 2010-2014
C6CR,69,Archivado,2010-2014,comision entrante,comision entrante 2010-2014
C6S,51,Archivado,2010-2014,comision entrante,comision entrante 2010-2014
C3CR,90,Archivado,2010-2014,comision entrante,comision entrante 2010-2014
C3S,26,Archivado,2010-2014,comision entrante,comision entrante 2010-2014
NA,72,Archivado,2010-2014,comision entrante,comision entrante 2010-2014
C4CR,21,Archivado,2014-2018,comision entrante,comision entrante 2014-2018
C4S,2,Archivado,2014-2018,comision entrante,comision entrante 2014-2018
C1CR,204,Archivado,2014-2018,comision entrante,comision entrante 2014-2018
C1S,181,Archivado,2014-2018,comision entrante,comision entrante 2014-2018
C5CR,62,Archivado,2014-2018,comision entrante,comision entrante 2014-2018
C5S,48,Archivado,2014-2018,comision entrante,comision entrante 2014-2018
C2CR,32,Archivado,2014-2018,comision entrante,comision entrante 2014-2018
C2S,48,Archivado,2014-2018,comision entrante,comision entrante 2014-2018
C7CR,77,Archivado,2014-2018,comision entrante,comision entrante 2014-2018
C7S,96,Archivado,2014-2018,comision entrante,comision entrante 2014-2018
C6CR,93,Archivado,2014-2018,comision entrante,comision entrante 2014-2018
C6S,69,Archivado,2014-2018,comision entrante,comision entrante 2014-2018
C3CR,54,Archivado,2014-2018,comision entrante,comision entrante 2014-2018
C3S,25,Archivado,2014-2018,comision entrante,comision entrante 2014-2018
NA,1,Archivado,2014-2018,comision entrante,comision entrante 2014-2018
Proyecto Acto Legislativo,82,Archivado,2002-2006,Tipo proyecto,Tipo proyecto 2002-2006
Proyecto de Ley,1043,Archivado,2002-2006,Tipo proyecto,Tipo proyecto 2002-2006
Proyecto de ley Estatutaria,12,Archivado,2002-2006,Tipo proyecto,Tipo proyecto 2002-2006
Proyecto Acto Legislativo,101,Archivado,2006-2010,Tipo proyecto,Tipo proyecto 2006-2010
Proyecto de Ley,1152,Archivado,2006-2010,Tipo proyecto,Tipo proyecto 2006-2010
Proyecto de ley Estatutaria,23,Archivado,2006-2010,Tipo proyecto,Tipo proyecto 2006-2010
Proyecto Acto Legislativo,74,Archivado,2010-2014,Tipo proyecto,Tipo proyecto 2010-2014
Proyecto de Ley,884,Archivado,2010-2014,Tipo proyecto,Tipo proyecto 2010-2014
Proyecto de ley Estatutaria,30,Archivado,2010-2014,Tipo proyecto,Tipo proyecto 2010-2014
Proyecto Acto Legislativo,91,Archivado,2014-2018,Tipo proyecto,Tipo proyecto 2014-2018
Proyecto de Ley,900,Archivado,2014-2018,Tipo proyecto,Tipo proyecto 2014-2018
Proyecto de ley Estatutaria,34,Archivado,2014-2018,Tipo proyecto,Tipo proyecto 2014-2018
Gubernamental,40,Archivado,2002-2006,Iniciativa,Iniciativa 2002-2006
Legislativa,1078,Archivado,2002-2006,Iniciativa,Iniciativa 2002-2006
Mixta,6,Archivado,2002-2006,Iniciativa,Iniciativa 2002-2006
Otras entidades,12,Archivado,2002-2006,Iniciativa,Iniciativa 2002-2006
Popular,1,Archivado,2002-2006,Iniciativa,Iniciativa 2002-2006
Gubernamental,94,Archivado,2006-2010,Iniciativa,Iniciativa 2006-2010
Legislativa,1167,Archivado,2006-2010,Iniciativa,Iniciativa 2006-2010
Mixta,7,Archivado,2006-2010,Iniciativa,Iniciativa 2006-2010
Otras entidades,5,Archivado,2006-2010,Iniciativa,Iniciativa 2006-2010
Popular,3,Archivado,2006-2010,Iniciativa,Iniciativa 2006-2010
Gubernamental,52,Archivado,2010-2014,Iniciativa,Iniciativa 2010-2014
Legislativa,924,Archivado,2010-2014,Iniciativa,Iniciativa 2010-2014
Mixta,1,Archivado,2010-2014,Iniciativa,Iniciativa 2010-2014
Otras entidades,9,Archivado,2010-2014,Iniciativa,Iniciativa 2010-2014
Popular,2,Archivado,2010-2014,Iniciativa,Iniciativa 2010-2014
Gubernamental,53,Archivado,2014-2018,Iniciativa,Iniciativa 2014-2018
Legislativa,960,Archivado,2014-2018,Iniciativa,Iniciativa 2014-2018
Mixta,1,Archivado,2014-2018,Iniciativa,Iniciativa 2014-2018
Otras entidades,10,Archivado,2014-2018,Iniciativa,Iniciativa 2014-2018
Popular,1,Archivado,2014-2018,Iniciativa,Iniciativa 2014-2018
Local,116,Archivado,2002-2006,Alcance,Alcance 2002-2006
Nacional,1001,Archivado,2002-2006,Alcance,Alcance 2002-2006
Regional,9,Archivado,2002-2006,Alcance,Alcance 2002-2006
Tratado,10,Archivado,2002-2006,Alcance,Alcance 2002-2006
Local,125,Archivado,2006-2010,Alcance,Alcance 2006-2010
Nacional,1105,Archivado,2006-2010,Alcance,Alcance 2006-2010
Regional,21,Archivado,2006-2010,Alcance,Alcance 2006-2010
Tratado,25,Archivado,2006-2010,Alcance,Alcance 2006-2010
Local,108,Archivado,2010-2014,Alcance,Alcance 2010-2014
Nacional,843,Archivado,2010-2014,Alcance,Alcance 2010-2014
Regional,27,Archivado,2010-2014,Alcance,Alcance 2010-2014
Tratado,9,Archivado,2010-2014,Alcance,Alcance 2010-2014
Local,60,Archivado,2014-2018,Alcance,Alcance 2014-2018
Nacional,921,Archivado,2014-2018,Alcance,Alcance 2014-2018
Regional,27,Archivado,2014-2018,Alcance,Alcance 2014-2018
Tratado,14,Archivado,2014-2018,Alcance,Alcance 2014-2018
