month,value,Estado,year,filtro2,filtro
C4CR,32,Sancionado,2002-2006,comision entrante,comision entrante 2002-2006
CPCR,1,Sancionado,2002-2006,comision entrante,comision entrante 2002-2006
CPS,1,Sancionado,2002-2006,comision entrante,comision entrante 2002-2006
C1CR,19,Sancionado,2002-2006,comision entrante,comision entrante 2002-2006
C1S,22,Sancionado,2002-2006,comision entrante,comision entrante 2002-2006
C5CR,5,Sancionado,2002-2006,comision entrante,comision entrante 2002-2006
C5S,3,Sancionado,2002-2006,comision entrante,comision entrante 2002-2006
C2CR,28,Sancionado,2002-2006,comision entrante,comision entrante 2002-2006
C2S,89,Sancionado,2002-2006,comision entrante,comision entrante 2002-2006
C7CR,12,Sancionado,2002-2006,comision entrante,comision entrante 2002-2006
C7S,9,Sancionado,2002-2006,comision entrante,comision entrante 2002-2006
C6CR,16,Sancionado,2002-2006,comision entrante,comision entrante 2002-2006
C6S,8,Sancionado,2002-2006,comision entrante,comision entrante 2002-2006
C3CR,10,Sancionado,2002-2006,comision entrante,comision entrante 2002-2006
C3S,4,Sancionado,2002-2006,comision entrante,comision entrante 2002-2006
NA,4,Sancionado,2002-2006,comision entrante,comision entrante 2002-2006
C4CR,25,Sancionado,2006-2010,comision entrante,comision entrante 2006-2010
CC4S,2,Sancionado,2006-2010,comision entrante,comision entrante 2006-2010
C1CR,15,Sancionado,2006-2010,comision entrante,comision entrante 2006-2010
C1S,29,Sancionado,2006-2010,comision entrante,comision entrante 2006-2010
C5CR,8,Sancionado,2006-2010,comision entrante,comision entrante 2006-2010
C5S,4,Sancionado,2006-2010,comision entrante,comision entrante 2006-2010
C2CR,6,Sancionado,2006-2010,comision entrante,comision entrante 2006-2010
C2S,80,Sancionado,2006-2010,comision entrante,comision entrante 2006-2010
C7CR,18,Sancionado,2006-2010,comision entrante,comision entrante 2006-2010
C7S,16,Sancionado,2006-2010,comision entrante,comision entrante 2006-2010
C6CR,17,Sancionado,2006-2010,comision entrante,comision entrante 2006-2010
C6S,12,Sancionado,2006-2010,comision entrante,comision entrante 2006-2010
C3CR,26,Sancionado,2006-2010,comision entrante,comision entrante 2006-2010
C3S,8,Sancionado,2006-2010,comision entrante,comision entrante 2006-2010
NA,2,Sancionado,2006-2010,comision entrante,comision entrante 2006-2010
C4CR,29,Sancionado,2010-2014,comision entrante,comision entrante 2010-2014
C4S,6,Sancionado,2010-2014,comision entrante,comision entrante 2010-2014
C1CR,25,Sancionado,2010-2014,comision entrante,comision entrante 2010-2014
C1S,18,Sancionado,2010-2014,comision entrante,comision entrante 2010-2014
C5CR,5,Sancionado,2010-2014,comision entrante,comision entrante 2010-2014
C5S,3,Sancionado,2010-2014,comision entrante,comision entrante 2010-2014
C2CR,14,Sancionado,2010-2014,comision entrante,comision entrante 2010-2014
C2S,90,Sancionado,2010-2014,comision entrante,comision entrante 2010-2014
C7CR,10,Sancionado,2010-2014,comision entrante,comision entrante 2010-2014
