month;filtro;Estado;Year;value
C4CR;comisión entrante;Archivado;2002-2006;616
C4S;comisión entrante;Archivado;2002-2006;170
C1CR;comisión entrante;Archivado;2002-2006;303
C1S;comisión entrante;Archivado;2002-2006;314
C5CR;comisión entrante;Archivado;2002-2006;422
C5S;comisión entrante;Archivado;2002-2006;338
C2CR;comisión entrante;Archivado;2002-2006;663
C2S;comisión entrante;Archivado;2002-2006;502
C7CR;comisión entrante;Archivado;2002-2006;498
C7S;comisión entrante;Archivado;2002-2006;338
C6CR;comisión entrante;Archivado;2002-2006;470
C6S;comisión entrante;Archivado;2002-2006;424
C3CR;comisión entrante;Archivado;2002-2006;527
C3S;comisión entrante;Archivado;2002-2006;331
NA;comisión entrante;Archivado;2002-2006;216
C4CR;comisión entrante;Archivado;2006-2010;549
C4S;comisión entrante;Archivado;2006-2010;613
C1CR;comisión entrante;Archivado;2006-2010;446
C1S;comisión entrante;Archivado;2006-2010;454
C5CR;comisión entrante;Archivado;2006-2010;350
C5S;comisión entrante;Archivado;2006-2010;465
C2CR;comisión entrante;Archivado;2006-2010;548
C2S;comisión entrante;Archivado;2006-2010;598
C7CR;comisión entrante;Archivado;2006-2010;530
C7S;comisión entrante;Archivado;2006-2010;577
C6CR;comisión entrante;Archivado;2006-2010;536
C6S;comisión entrante;Archivado;2006-2010;543
C3CR;comisión entrante;Archivado;2006-2010;497
C3S;comisión entrante;Archivado;2006-2010;413
NA;comisión entrante;Archivado;2006-2010;224
C4CR;comisión entrante;Archivado;2010-2014;471
C4S;comisión entrante;Archivado;2010-2014;432
C1CR;comisión entrante;Archivado;2010-2014;280
C1S;comisión entrante;Archivado;2010-2014;258
C5CR;comisión entrante;Archivado;2010-2014;367
C5S;comisión entrante;Archivado;2010-2014;360
C2CR;comisión entrante;Archivado;2010-2014;357
C2S;comisión entrante;Archivado;2010-2014;427
C7CR;comisión entrante;Archivado;2010-2014;345
C7S;comisión entrante;Archivado;2010-2014;443
C6CR;comisión entrante;Archivado;2010-2014;374
C6S;comisión entrante;Archivado;2010-2014;456
C3CR;comisión entrante;Archivado;2010-2014;444
C3S;comisión entrante;Archivado;2010-2014;369
NA;comisión entrante;Archivado;2010-2014;196
C4CR;comisión entrante;Archivado;2014-2018;402
C4S;comisión entrante;Archivado;2014-2018;240
C1CR;comisión entrante;Archivado;2014-2018;245
C1S;comisión entrante;Archivado;2014-2018;259
C5CR;comisión entrante;Archivado;2014-2018;329
C5S;comisión entrante;Archivado;2014-2018;332
C2CR;comisión entrante;Archivado;2014-2018;481
C2S;comisión entrante;Archivado;2014-2018;437
C7CR;comisión entrante;Archivado;2014-2018;356
C7S;comisión entrante;Archivado;2014-2018;416
C6CR;comisión entrante;Archivado;2014-2018;353
C6S;comisión entrante;Archivado;2014-2018;333
C3CR;comisión entrante;Archivado;2014-2018;361
C3S;comisión entrante;Archivado;2014-2018;341
NA;comisión entrante;Archivado;2014-2018;13
Proyecto Acto Legislativo;Tipo proyecto;Archivado;2002-2006;204
Proyecto de Ley;Tipo proyecto;Archivado;2002-2006;327
Proyecto de ley Estatutaria;Tipo proyecto;Archivado;2002-2006;309
Proyecto Acto Legislativo;Tipo proyecto;Archivado;2006-2010;185
Proyecto de Ley;Tipo proyecto;Archivado;2006-2010;364
Proyecto de ley Estatutaria;Tipo proyecto;Archivado;2006-2010;207
Proyecto Acto Legislativo;Tipo proyecto;Archivado;2010-2014;109
Proyecto de Ley;Tipo proyecto;Archivado;2010-2014;373
Proyecto de ley Estatutaria;Tipo proyecto;Archivado;2010-2014;259
Proyecto Acto Legislativo;Tipo proyecto;Archivado;2014-2018;109
Proyecto de Ley;Tipo proyecto;Archivado;2014-2018;346
Proyecto de ley Estatutaria;Tipo proyecto;Archivado;2014-2018;302
Gubernamental;Iniciativa;Archivado;2002-2006;423
Legislativa;Iniciativa;Archivado;2002-2006;314
Mixta;Iniciativa;Archivado;2002-2006;311
Otras entidades;Iniciativa;Archivado;2002-2006;314
Popular;Iniciativa;Archivado;2002-2006;563
Gubernamental;Iniciativa;Archivado;2006-2010;347
Legislativa;Iniciativa;Archivado;2006-2010;347
Mixta;Iniciativa;Archivado;2006-2010;366
Otras entidades;Iniciativa;Archivado;2006-2010;341
Popular;Iniciativa;Archivado;2006-2010;292
Gubernamental;Iniciativa;Archivado;2010-2014;372
Legislativa;Iniciativa;Archivado;2010-2014;350
Mixta;Iniciativa;Archivado;2010-2014;275
Otras entidades;Iniciativa;Archivado;2010-2014;225
Popular;Iniciativa;Archivado;2010-2014;270
Gubernamental;Iniciativa;Archivado;2014-2018;289
Legislativa;Iniciativa;Archivado;2014-2018;326
Mixta;Iniciativa;Archivado;2014-2018;50
Otras entidades;Iniciativa;Archivado;2014-2018;308
Popular;Iniciativa;Archivado;2014-2018;147
Local;Alcance;Archivado;2002-2006;467
Nacional;Alcance;Archivado;2002-2006;301
Regional;Alcance;Archivado;2002-2006;319
Tratado;Alcance;Archivado;2002-2006;339
Local;Alcance;Archivado;2006-2010;394
Nacional;Alcance;Archivado;2006-2010;340
Regional;Alcance;Archivado;2006-2010;274
Tratado;Alcance;Archivado;2006-2010;488
Local;Alcance;Archivado;2010-2014;392
Nacional;Alcance;Archivado;2010-2014;344
Regional;Alcance;Archivado;2010-2014;408
Tratado;Alcance;Archivado;2010-2014;263
Local;Alcance;Archivado;2014-2018;378
Nacional;Alcance;Archivado;2014-2018;321
Regional;Alcance;Archivado;2014-2018;298
Tratado;Alcance;Archivado;2014-2018;329
;;;;
