valuen,year,valuet2,month,estado
6,2002-2006,411,Agropecuario  ,sancionado
4,2002-2006,601,Asuntos admin ,sancionado
2,2002-2006,628,Bienestar y pobreza,sancionado
81,2002-2006,598,cel hon y monu,sancionado
6,2002-2006,482,Comer- ind y tur,sancionado
2,2002-2006,614,TIC,sancionado
3,2002-2006,221,Conflicto armado,sancionado
4,2002-2006,815,Derechos Fund,sancionado
2,2002-2006,575,Des y calamidades,sancionado
10,2002-2006,346,Economia ,sancionado
16,2002-2006,511,Edu- cult- cyt ,sancionado
3,2002-2006,712,Familia,sancionado
5,2002-2006,314,Impuestos,sancionado
2,2002-2006,598,Infraestructura,sancionado
12,2002-2006,458,Justicia,sancionado
11,2002-2006,441,Laboral,sancionado
3,2002-2006,476,Medio Ambiente,sancionado
2,2002-2006,300,Minas y energía,sancionado
3,2002-2006,516,Mujer,sancionado
2,2002-2006,403,Notariado y registro,sancionado
2,2002-2006,438,Ord Territorial,sancionado
2,2002-2006,529,org cont y min publ ,sancionado
3,2002-2006,571,org electoral,sancionado
2,2002-2006,806,part ciudadana,sancionado
2,2002-2006,430,PND,sancionado
36,2002-2006,497,Politica Internacional,sancionado
7,2002-2006,98,Presupuesto,sancionado
9,2002-2006,740,Profesiones,sancionado
5,2002-2006,476,Rama Ejecutiva,sancionado
4,2002-2006,282,Rama Judicial,sancionado
5,2002-2006,539,Rama Legislativa,sancionado
2,2002-2006,431,rec y deporte,sancionado
8,2002-2006,423,Seg Social y salud,sancionado
21,2002-2006,463,seg- def y fuer publica,sancionado
2,2002-2006,234,serv publicos,sancionado
5,2002-2006,527,Transito y transporte,sancionado
2,2002-2006,400,Vivienda,sancionado
3,2006-2010,538,Agropecuario  ,sancionado
3,2006-2010,535,Asuntos admin ,sancionado
50,2006-2010,686,cel hon y monu,sancionado
8,2006-2010,387,Comer- ind y tur,sancionado
2,2006-2010,706,TIC,sancionado
9,2006-2010,623,Derechos Fund,sancionado
2,2006-2010,755,Des y calamidades,sancionado
13,2006-2010,390,Economia ,sancionado
13,2006-2010,558,Edu- cult- cyt ,sancionado
11,2006-2010,484,Estampillas,sancionado
5,2006-2010,837,Familia,sancionado
3,2006-2010,593,Infraestructura,sancionado
19,2006-2010,487,Justicia,sancionado
6,2006-2010,443,Laboral,sancionado
4,2006-2010,598,Medio Ambiente,sancionado
4,2006-2010,532,Minas y energía,sancionado
4,2006-2010,663,Mujer,sancionado
5,2006-2010,399,org electoral,sancionado
2,2006-2010,332,PND,sancionado
53,2006-2010,459,Politica Internacional,sancionado
6,2006-2010,182,Presupuesto,sancionado
7,2006-2010,698,Profesiones,sancionado
3,2006-2010,417,Rama Ejecutiva,sancionado
5,2006-2010,558,Rama Judicial,sancionado
2,2006-2010,579,Rama Legislativa,sancionado
4,2006-2010,744,rec y deporte,sancionado
18,2006-2010,692,Seg Social y salud,sancionado
9,2006-2010,394,seg- def y fuer publica,sancionado
3,2006-2010,280,serv publicos,sancionado
9,2006-2010,708,Transito y transporte,sancionado
2,2006-2010,528,Vivienda,sancionado
4,2010-2014,367,Adm Publica,sancionado
7,2010-2014,522,Agropecuario  ,sancionado
2,2010-2014,906,Bienestar y pobreza,sancionado
73,2010-2014,466,cel hon y monu,sancionado
7,2010-2014,531,Comer- ind y tur,sancionado
3,2010-2014,377,TIC,sancionado
6,2010-2014,382,Conflicto armado,sancionado
2,2010-2014,300,Corrupcion ,sancionado
6,2010-2014,645,Derechos Fund,sancionado
2,2010-2014,383,Des y calamidades,sancionado
13,2010-2014,336,Economia ,sancionado
12,2010-2014,480,Edu- cult- cyt ,sancionado
8,2010-2014,427,Estampillas,sancionado
3,2010-2014,265,Impuestos,sancionado
2,2010-2014,136,Infraestructura,sancionado
8,2010-2014,512,Justicia,sancionado
6,2010-2014,425,Laboral,sancionado
