month,valuen,year,valuet2
Administración pública,24,2002-2006,273
Agropecuario y agrícola,18,2002-2006,311
Asuntos administrativos,9,2002-2006,212
Bienestar y pobreza,10,2002-2006,196
Celebraciones, honores y monumentos,99,2002-2006,516
Comercio, industria y turismo,41,2002-2006,305
Comunicaciones, medios y tecnologías de la información,17,2002-2006,351
Conflicto armado,13,2002-2006,252
Corrupción,9,2002-2006,228
Derechos de autor,6,2002-2006,292
Derechos Fundamentales,28,2002-2006,345
Derechos Humanos y DIH,2,2002-2006,146
Desastres y calamidades,3,2002-2006,627
Economía,39,2002-2006,301
Educación, cultura, ciencia y tecnología,54,2002-2006,321
Estampillas,15,2002-2006,360
Familia,25,2002-2006,286
Impuestos,22,2002-2006,306
Infraestructura,18,2002-2006,364
Juegos Azar,2,2002-2006,161
Justicia,58,2002-2006,284
Laboral,53,2002-2006,293
Medio Ambiente,23,2002-2006,303
Minas y energía,16,2002-2006,400
Minorías étnicas y sexuales,15,2002-2006,239
Mujer,5,2002-2006,305
Notariado y registro,16,2002-2006,251
Ordenamiento Territorial,24,2002-2006,302
Organismos de Control y Ministerio público,15,2002-2006,336
Organización Electoral y elecciones,24,2002-2006,243
Participación ciudadana,20,2002-2006,242
Partidos y movimientos,6,2002-2006,209
Plan Nacional de Desarrollo,10,2002-2006,289
Política Internacional,14,2002-2006,362
Presupuesto,7,2002-2006,298
Profesiones,40,2002-2006,312
Rama Ejecutiva,27,2002-2006,270
Rama Judicial,18,2002-2006,238
Rama Legislativa,62,2002-2006,261
Recreación y deporte,22,2002-2006,373
Seguridad Social y salud,72,2002-2006,274
Seguridad, defensa y fuerza pública,43,2002-2006,316
Servicios Públicos,35,2002-2006,335
Tránsito y transporte,44,2002-2006,330
Vivienda,14,2002-2006,358
Administración pública,2,2006-2010,222
Agropecuario y agrícola,22,2006-2010,304
Asuntos administrativos,26,2006-2010,330
Bienestar y pobreza,10,2006-2010,370
Celebraciones, honores y monumentos,143,2006-2010,450
Comercio, industria y turismo,44,2006-2010,373
Comunicaciones, medios y tecnologías de la información,18,2006-2010,329
Conflicto armado,11,2006-2010,364
Corrupción,3,2006-2010,485
Derechos de autor,4,2006-2010,389
Derechos Fundamentales,41,2006-2010,287
Derechos Humanos y DIH,3,2006-2010,211
Desastres y calamidades,8,2006-2010,385
Economía,43,2006-2010,280
Educación, cultura, ciencia y tecnología,64,2006-2010,384
Estampillas,30,2006-2010,318
Familia,44,2006-2010,356
Impuestos,2,2006-2010,346
Infraestructura,15,2006-2010,331
Juegos Azar,4,2006-2010,290
Justicia,92,2006-2010,290
Laboral,42,2006-2010,377
Medio Ambiente,36,2006-2010,342
Minas y energía,15,2006-2010,328
Minorías étnicas y sexuales,7,2006-2010,284
Mujer,2,2006-2010,500
Notariado y registro,11,2006-2010,389
Ordenamiento Territorial,28,2006-2010,315
Organismos de Control y Ministerio público,7,2006-2010,409
Organización Electoral y elecciones,19,2006-2010,250
Participación ciudadana,23,2006-2010,361
Partidos y movimientos,7,2006-2010,191
Plan Nacional de Desarrollo,2,2006-2010,208
Política Internacional,29,2006-2010,471
Profesiones,30,2006-2010,391
Rama Ejecutiva,29,2006-2010,252
Rama Judicial,19,2006-2010,204
Rama Legislativa,55,2006-2010,300
Recreación y deporte,17,2006-2010,420
Seguridad Social y salud,135,2006-2010,361
Seguridad, defensa y fuerza pública,55,2006-2010,325
Servicios Públicos,18,2006-2010,369
Tránsito y transporte,48,2006-2010,299
Vivienda,13,2006-2010,322
Administración pública,14,2010-2014,258
Agropecuario y agrícola,27,2010-2014,405
Asuntos administrativos,10,2010-2014,384
Bienestar y pobreza,17,2010-2014,452
Celebraciones, honores y monumentos,91,2010-2014,420
Comercio, industria y turismo,30,2010-2014,392
Comunicaciones, medios y tecnologías de la información,20,2010-2014,310
Conflicto armado,3,2010-2014,191
Corrupción,2,2010-2014,295
Derechos de autor,5,2010-2014,191
Derechos Fundamentales,23,2010-2014,270
