month,filtro2,Estado,year,value,filtro
C4CR,comision entrante,Archivado,2002-2006,616,comision entrante 2002-2006
C4S,comision entrante,Archivado,2002-2006,170,comision entrante 2002-2006
C1CR,comision entrante,Archivado,2002-2006,303,comision entrante 2002-2006
C1S,comision entrante,Archivado,2002-2006,314,comision entrante 2002-2006
C5CR,comision entrante,Archivado,2002-2006,422,comision entrante 2002-2006
C5S,comision entrante,Archivado,2002-2006,338,comision entrante 2002-2006
C2CR,comision entrante,Archivado,2002-2006,663,comision entrante 2002-2006
C2S,comision entrante,Archivado,2002-2006,502,comision entrante 2002-2006
C7CR,comision entrante,Archivado,2002-2006,498,comision entrante 2002-2006
C7S,comision entrante,Archivado,2002-2006,338,comision entrante 2002-2006
C6CR,comision entrante,Archivado,2002-2006,470,comision entrante 2002-2006
C6S,comision entrante,Archivado,2002-2006,424,comision entrante 2002-2006
C3CR,comision entrante,Archivado,2002-2006,527,comision entrante 2002-2006
C3S,comision entrante,Archivado,2002-2006,331,comision entrante 2002-2006
NA,comision entrante,Archivado,2002-2006,216,comision entrante 2002-2006
C4CR,comision entrante,Archivado,2006-2010,549,comision entrante 2006-2010
C4S,comision entrante,Archivado,2006-2010,613,comision entrante 2006-2010
C1CR,comision entrante,Archivado,2006-2010,446,comision entrante 2006-2010
C1S,comision entrante,Archivado,2006-2010,454,comision entrante 2006-2010
C5CR,comision entrante,Archivado,2006-2010,350,comision entrante 2006-2010
C5S,comision entrante,Archivado,2006-2010,465,comision entrante 2006-2010
C2CR,comision entrante,Archivado,2006-2010,548,comision entrante 2006-2010
C2S,comision entrante,Archivado,2006-2010,598,comision entrante 2006-2010
C7CR,comision entrante,Archivado,2006-2010,530,comision entrante 2006-2010
C7S,comision entrante,Archivado,2006-2010,577,comision entrante 2006-2010
C6CR,comision entrante,Archivado,2006-2010,536,comision entrante 2006-2010
C6S,comision entrante,Archivado,2006-2010,543,comision entrante 2006-2010
C3CR,comision entrante,Archivado,2006-2010,497,comision entrante 2006-2010
C3S,comision entrante,Archivado,2006-2010,413,comision entrante 2006-2010
NA,comision entrante,Archivado,2006-2010,224,comision entrante 2006-2010
C4CR,comision entrante,Archivado,2010-2014,471,comision entrante 2010-2014
C4S,comision entrante,Archivado,2010-2014,432,comision entrante 2010-2014
C1CR,comision entrante,Archivado,2010-2014,280,comision entrante 2010-2014
C1S,comision entrante,Archivado,2010-2014,258,comision entrante 2010-2014
C5CR,comision entrante,Archivado,2010-2014,367,comision entrante 2010-2014
C5S,comision entrante,Archivado,2010-2014,360,comision entrante 2010-2014
C2CR,comision entrante,Archivado,2010-2014,357,comision entrante 2010-2014
C2S,comision entrante,Archivado,2010-2014,427,comision entrante 2010-2014
C7CR,comision entrante,Archivado,2010-2014,345,comision entrante 2010-2014
C7S,comision entrante,Archivado,2010-2014,443,comision entrante 2010-2014
C6CR,comision entrante,Archivado,2010-2014,374,comision entrante 2010-2014
C6S,comision entrante,Archivado,2010-2014,456,comision entrante 2010-2014
C3CR,comision entrante,Archivado,2010-2014,444,comision entrante 2010-2014
C3S,comision entrante,Archivado,2010-2014,369,comision entrante 2010-2014
NA,comision entrante,Archivado,2010-2014,196,comision entrante 2010-2014
C4CR,comision entrante,Archivado,2014-2018,402,comision entrante 2014-2018
C4S,comision entrante,Archivado,2014-2018,240,comision entrante 2014-2018
C1CR,comision entrante,Archivado,2014-2018,245,comision entrante 2014-2018
C1S,comision entrante,Archivado,2014-2018,259,comision entrante 2014-2018
C5CR,comision entrante,Archivado,2014-2018,329,comision entrante 2014-2018
C5S,comision entrante,Archivado,2014-2018,332,comision entrante 2014-2018
C2CR,comision entrante,Archivado,2014-2018,481,comision entrante 2014-2018
C2S,comision entrante,Archivado,2014-2018,437,comision entrante 2014-2018
C7CR,comision entrante,Archivado,2014-2018,356,comision entrante 2014-2018
C7S,comision entrante,Archivado,2014-2018,416,comision entrante 2014-2018
C6CR,comision entrante,Archivado,2014-2018,353,comision entrante 2014-2018
C6S,comision entrante,Archivado,2014-2018,333,comision entrante 2014-2018
C3CR,comision entrante,Archivado,2014-2018,361,comision entrante 2014-2018
C3S,comision entrante,Archivado,2014-2018,341,comision entrante 2014-2018
NA,comision entrante,Archivado,2014-2018,13,comision entrante 2014-2018
Proyecto Acto Legislativo,Tipo proyecto,Archivado,2002-2006,204,Tipo proyecto 2002-2006
Proyecto de Ley,Tipo proyecto,Archivado,2002-2006,327,Tipo proyecto 2002-2006
Proyecto de ley Estatutaria,Tipo proyecto,Archivado,2002-2006,309,Tipo proyecto 2002-2006
Proyecto Acto Legislativo,Tipo proyecto,Archivado,2006-2010,185,Tipo proyecto 2006-2010
Proyecto de Ley,Tipo proyecto,Archivado,2006-2010,364,Tipo proyecto 2006-2010
