month,filtro2,Estado,year,value,filtro
C4CR,comision entrante,Sancionado,2002-2006,706,comision entrante 2002-2006
CPCR,comision entrante,Sancionado,2002-2006,535,comision entrante 2002-2006
CPS,comision entrante,Sancionado,2002-2006,755,comision entrante 2002-2006
C1CR,comision entrante,Sancionado,2002-2006,598,comision entrante 2002-2006
C1S,comision entrante,Sancionado,2002-2006,543,comision entrante 2002-2006
C5CR,comision entrante,Sancionado,2002-2006,493,comision entrante 2002-2006
C5S,comision entrante,Sancionado,2002-2006,542,comision entrante 2002-2006
C2CR,comision entrante,Sancionado,2002-2006,492,comision entrante 2002-2006
C2S,comision entrante,Sancionado,2002-2006,513,comision entrante 2002-2006
C7CR,comision entrante,Sancionado,2002-2006,576,comision entrante 2002-2006
C7S,comision entrante,Sancionado,2002-2006,749,comision entrante 2002-2006
C6CR,comision entrante,Sancionado,2002-2006,631,comision entrante 2002-2006
C6S,comision entrante,Sancionado,2002-2006,547,comision entrante 2002-2006
C3CR,comision entrante,Sancionado,2002-2006,458,comision entrante 2002-2006
C3S,comision entrante,Sancionado,2002-2006,504,comision entrante 2002-2006
NA,comision entrante,Sancionado,2002-2006,434,comision entrante 2002-2006
C4CR,comision entrante,Sancionado,2006-2010,664,comision entrante 2006-2010
C4S,comision entrante,Sancionado,2006-2010,847,comision entrante 2006-2010
C1CR,comision entrante,Sancionado,2006-2010,607,comision entrante 2006-2010
C1S,comision entrante,Sancionado,2006-2010,551,comision entrante 2006-2010
C5CR,comision entrante,Sancionado,2006-2010,434,comision entrante 2006-2010
C5S,comision entrante,Sancionado,2006-2010,699,comision entrante 2006-2010
C2CR,comision entrante,Sancionado,2006-2010,535,comision entrante 2006-2010
C2S,comision entrante,Sancionado,2006-2010,540,comision entrante 2006-2010
C7CR,comision entrante,Sancionado,2006-2010,674,comision entrante 2006-2010
C7S,comision entrante,Sancionado,2006-2010,762,comision entrante 2006-2010
C6CR,comision entrante,Sancionado,2006-2010,668,comision entrante 2006-2010
C6S,comision entrante,Sancionado,2006-2010,667,comision entrante 2006-2010
C3CR,comision entrante,Sancionado,2006-2010,453,comision entrante 2006-2010
C3S,comision entrante,Sancionado,2006-2010,445,comision entrante 2006-2010
NA,comision entrante,Sancionado,2006-2010,245,comision entrante 2006-2010
C4CR,comision entrante,Sancionado,2010-2014,489,comision entrante 2010-2014
C4S,comision entrante,Sancionado,2010-2014,456,comision entrante 2010-2014
C1CR,comision entrante,Sancionado,2010-2014,463,comision entrante 2010-2014
C1S,comision entrante,Sancionado,2010-2014,523,comision entrante 2010-2014
C5CR,comision entrante,Sancionado,2010-2014,558,comision entrante 2010-2014
C5S,comision entrante,Sancionado,2010-2014,837,comision entrante 2010-2014
C2CR,comision entrante,Sancionado,2010-2014,478,comision entrante 2010-2014
C2S,comision entrante,Sancionado,2010-2014,417,comision entrante 2010-2014
C7CR,comision entrante,Sancionado,2010-2014,566,comision entrante 2010-2014
C7S,comision entrante,Sancionado,2010-2014,609,comision entrante 2010-2014
C6CR,comision entrante,Sancionado,2010-2014,534,comision entrante 2010-2014
C6S,comision entrante,Sancionado,2010-2014,464,comision entrante 2010-2014
C3CR,comision entrante,Sancionado,2010-2014,516,comision entrante 2010-2014
C3S,comision entrante,Sancionado,2010-2014,486,comision entrante 2010-2014
C4CR,comision entrante,Sancionado,2014-2018,560,comision entrante 2014-2018
C4S,comision entrante,Sancionado,2014-2018,352,comision entrante 2014-2018
C1CR,comision entrante,Sancionado,2014-2018,500,comision entrante 2014-2018
C1S,comision entrante,Sancionado,2014-2018,550,comision entrante 2014-2018
C5CR,comision entrante,Sancionado,2014-2018,554,comision entrante 2014-2018
C5S,comision entrante,Sancionado,2014-2018,570,comision entrante 2014-2018
C2CR,comision entrante,Sancionado,2014-2018,466,comision entrante 2014-2018
C2S,comision entrante,Sancionado,2014-2018,508,comision entrante 2014-2018
C7CR,comision entrante,Sancionado,2014-2018,520,comision entrante 2014-2018
C7S,comision entrante,Sancionado,2014-2018,608,comision entrante 2014-2018
C6CR,comision entrante,Sancionado,2014-2018,535,comision entrante 2014-2018
C6S,comision entrante,Sancionado,2014-2018,535,comision entrante 2014-2018
C3CR,comision entrante,Sancionado,2014-2018,435,comision entrante 2014-2018
C3S,comision entrante,Sancionado,2014-2018,584,comision entrante 2014-2018
Proyecto de Ley,Tipo proyecto,Sancionado,2002-2006,507,Tipo proyecto 2002-2006
Proyecto de ley Estatutaria,Tipo proyecto,Sancionado,2002-2006,585,Tipo proyecto 2002-2006
Proyecto de Ley,Tipo proyecto,Sancionado,2006-2010,545,Tipo proyecto 2006-2010
Proyecto de ley Estatutaria,Tipo proyecto,Sancionado,2006-2010,818,Tipo proyecto 2006-2010
Proyecto de Ley,Tipo proyecto,Sancionado,2010-2014,431,Tipo proyecto 2010-2014
Proyecto de ley Estatutaria,Tipo proyecto,Sancionado,2010-2014,707,Tipo proyecto 2010-2014
Proyecto de Ley,Tipo proyecto,Sancionado,2014-2018,446,Tipo proyecto 2014-2018
Proyecto de ley Estatutaria,Tipo proyecto,Sancionado,2014-2018,611,Tipo proyecto 2014-2018
Gubernamental,Iniciativa,Sancionado,2002-2006,408,Iniciativa 2002-2006
Legislativa,Iniciativa,Sancionado,2002-2006,582,Iniciativa 2002-2006
Mixta,Iniciativa,Sancionado,2002-2006,481,Iniciativa 2002-2006
Otras entidades,Iniciativa,Sancionado,2002-2006,458,Iniciativa 2002-2006
Gubernamental,Iniciativa,Sancionado,2006-2010,403,Iniciativa 2006-2010
Legislativa,Iniciativa,Sancionado,2006-2010,643,Iniciativa 2006-2010
Mixta,Iniciativa,Sancionado,2006-2010,531,Iniciativa 2006-2010
Otras entidades,Iniciativa,Sancionado,2006-2010,235,Iniciativa 2006-2010
Gubernamental,Iniciativa,Sancionado,2010-2014,348,Iniciativa 2010-2014
Legislativa,Iniciativa,Sancionado,2010-2014,516,Iniciativa 2010-2014
Otras entidades,Iniciativa,Sancionado,2010-2014,523,Iniciativa 2010-2014
Gubernamental,Iniciativa,Sancionado,2014-2018,312,Iniciativa 2014-2018
Legislativa,Iniciativa,Sancionado,2014-2018,529,Iniciativa 2014-2018
Otras entidades,Iniciativa,Sancionado,2014-2018,387,Iniciativa 2014-2018
Local,Alcance,Sancionado,2002-2006,581,Alcance 2002-2006
Nacional,Alcance,Sancionado,2002-2006,491,Alcance 2002-2006
Regional,Alcance,Sancionado,2002-2006,564,Alcance 2002-2006
Tratado,Alcance,Sancionado,2002-2006,496,Alcance 2002-2006
Local,Alcance,Sancionado,2006-2010,620,Alcance 2006-2010
Nacional,Alcance,Sancionado,2006-2010,561,Alcance 2006-2010
Regional,Alcance,Sancionado,2006-2010,432,Alcance 2006-2010
Tratado,Alcance,Sancionado,2006-2010,458,Alcance 2006-2010
Local,Alcance,Sancionado,2010-2014,497,Alcance 2010-2014
Nacional,Alcance,Sancionado,2010-2014,435,Alcance 2010-2014
Regional,Alcance,Sancionado,2010-2014,445,Alcance 2010-2014
Tratado,Alcance,Sancionado,2010-2014,403,Alcance 2010-2014
Local,Alcance,Sancionado,2014-2018,467,Alcance 2014-2018
Nacional,Alcance,Sancionado,2014-2018,440,Alcance 2014-2018
Regional,Alcance,Sancionado,2014-2018,416,Alcance 2014-2018
Tratado,Alcance,Sancionado,2014-2018,506,Alcance 2014-2018
